origin,destination,distance_km,ridership
AG13: Maluri,KG13: Pusat Bandar Damansara,7.49596651466651,1069
AG13: Maluri,KG14: Semantan,7.51915067311988,989
AG13: Maluri,KG15: Muzium Negara,4.701535439127987,2160
AG13: Maluri,KG16: Pasar Seni,4.106995604225294,2186
AG13: Maluri,KG17: Merdeka,3.487530813701902,1268
AG13: Maluri,KG20: Tun Razak Exchange,2.26780189019996,5679
AG13: Maluri,KG21: Cochrane,1.1641421992157421,3717
AG13: Maluri,KG22: Maluri,0.06915069152003088,5834
AG13: Maluri,KG23: Taman Pertama,1.21685508997538,881
AG13: Maluri,KG24: Taman Midah,2.158570203795403,1291
AG13: Maluri,KG25: Taman Mutiara,3.877968150339211,2951
AG13: Maluri,KG26: Taman Connaught,5.294551082530186,1573
AG13: Maluri,KG27: Taman Suntex,7.02002954888797,928
AG13: Maluri,KG28: Sri Raya,8.466773701106662,402
AG13: Maluri,KG29: Bandar Tun Hussien Onn,9.893069788557153,1100
AG13: Maluri,KG30: Batu 11 Cheras,10.451750237716642,694
AG13: Maluri,KG31: Bukit Dukung,11.818672281548185,516
AG13: Maluri,KG33: Sungai Jernih,14.98412930603921,442
AG13: Maluri,KG34: Stadium Kajang,15.749229114625617,818
AG13: Maluri,KG35: Kajang,17.118506179528374,1311
AG13: Maluri,KJ10: KLCC,4.2572787809480905,8570
AG13: Maluri,KJ11: Kampung Baru,4.818060104858371,654
AG13: Maluri,KJ12: Dang Wangi,4.679483710201344,1681
AG13: Maluri,KJ13: Masjid Jamek,4.480683300125205,533
AG13: Maluri,KJ14: Pasar Seni,4.139534292105596,1792
AG13: Maluri,KJ15: KL Sentral,4.720965157509625,1553
AG13: Maluri,KJ16: Bank Rakyat Bangsar,5.375243044106528,2712
AG13: Maluri,KJ17: Abdullah Hukum,6.059681994756906,5607
AG13: Maluri,KJ18: Kerinchi,6.575903801942591,2749
AG13: Maluri,KJ19: Universiti,7.352008461795674,908
AG13: Maluri,KJ20: Taman Jaya,9.355372784881025,745
AG13: Maluri,KJ21: Asia Jaya,10.167690344585557,1195
AG13: Maluri,KJ22: Taman Paramount,11.740391970703396,397
AG13: Maluri,KJ23: Taman Bahagia,12.780682308715804,347
AG13: Maluri,KJ24: Kelana Jaya,13.707481089608633,629
AG13: Maluri,KJ25: Lembah Subang,15.178913673818965,535
AG13: Maluri,KJ26: Ara Damansara,15.7299663126107,576
AG13: Maluri,KJ27: Cgc Glenmarie,15.502363923259278,705
AG13: Maluri,KJ28: Subang Jaya,16.03671866198694,821
AG13: Maluri,KJ29: SS 15,16.547623044016696,528
AG13: Maluri,KJ30: SS 18,16.88783142305638,89
AG13: Maluri,KJ31: USJ 7,16.814193362300998,278
AG13: Maluri,KJ32: Taipan,17.36005074019734,210
AG13: Maluri,KJ33: Wawasan,18.281816789858443,258
AG13: Maluri,KJ34: USJ 21,19.21305517581347,167
AG13: Maluri,KJ35: Alam Megah,20.5221186373275,236
AG13: Maluri,KJ36: Subang Alam,21.366507551126475,329
AG13: Maluri,MR10: Chow Kit,5.857466141619787,1933
AG13: Maluri,MR11: Titiwangsa,6.544945213606303,360
AG13: Maluri,SP12: Cheras,1.8782291114510217,5710
AG13: Maluri,SP13: Salak Selatan,3.315047863170865,8622
AG13: Maluri,SP14: Bandar Tun Razak,4.0939256274436895,3035
AG13: Maluri,SP15: Bandar Tasik Selatan,5.550575982470803,9592
AG13: Maluri,SP16: Sungai Besi,6.946288892050107,552
AG13: Maluri,SP17: Bukit Jalil,8.223705134664687,9234
AG13: Maluri,SP18: Sri Petaling,8.198967190547329,2000
AG13: Maluri,SP19: Awan Besar,9.269363971271277,4852
AG13: Maluri,SP20: Muhibbah,9.88719300115144,2881
AG13: Maluri,SP21: Alam Sutera,10.95413374511972,2088
AG13: Maluri,SP22: Kinrara,12.26410575287366,2335
AG13: Maluri,SP24: IOI Puchong Jaya,14.467023383608188,2854
AG13: Maluri,SP25: Pusat Bandar Puchong,15.902365639971197,2822
AG13: Maluri,SP26: Taman Perindustrian Puchong,16.86413580501771,1891
AG13: Maluri,SP27: Bandar Puteri,17.34433509152146,1340
AG13: Maluri,SP28: Puchong Perdana,18.67846137255756,1006
AG13: Maluri,SP29: Puchong Prima,19.969680299009095,1442
AG13: Maluri,SP31: Putra Heights,22.00557143705409,1242
AG14: Pandan Jaya,AG10: Pudu,3.061764573917817,15534
AG14: Pandan Jaya,AG11: Chan Sow Lin,2.617328986555261,4910
AG14: Pandan Jaya,AG12: Miharja,2.5651011182291343,4523
AG14: Pandan Jaya,AG13: Maluri,1.5192707621378727,25899
AG14: Pandan Jaya,AG15: Pandan Indah,0.9573000989415743,9336
AG14: Pandan Jaya,AG16: Cempaka,1.7874525621284207,13131
AG14: Pandan Jaya,AG17: Cahaya,2.268279619827148,8147
AG14: Pandan Jaya,AG18: Ampang,3.22989484283099,12533
AG14: Pandan Jaya,KG04: Kwasa Damansara,19.241668613263883,270
AG14: Pandan Jaya,KG05: Kwasa Sentral,19.87432788856925,933
AG14: Pandan Jaya,KG06: Kota Damansara,17.950634095551365,750
AG14: Pandan Jaya,KG07: Surian,16.26372370493035,2331
AG14: Pandan Jaya,KG08: Mutiara Damansara,14.707141207922563,1364
AG14: Pandan Jaya,KG09: Bandar Utama,13.507682902447097,2839
AG14: Pandan Jaya,KG10: TTDI,12.074209958800175,2643
AG14: Pandan Jaya,KG12: Phileo Damansara,10.731112695889632,1935
AG14: Pandan Jaya,KG13: Pusat Bandar Damansara,8.595809595446168,3229
AG14: Pandan Jaya,KG14: Semantan,8.496419975162429,4067
AG14: Pandan Jaya,KG15: Muzium Negara,5.804833566131927,2383
AG14: Pandan Jaya,KG16: Pasar Seni,5.021384330724273,2489
AG14: Pandan Jaya,KG17: Merdeka,4.321066264579589,1794
AG14: Pandan Jaya,KG20: Tun Razak Exchange,2.5086449957828045,12290
AG14: Pandan Jaya,KG21: Cochrane,1.8189520267658335,10894
AG14: Pandan Jaya,KG22: Maluri,1.450177480213272,18390
AG14: Pandan Jaya,KG23: Taman Pertama,2.235955320479295,1104
AG14: Pandan Jaya,KG24: Taman Midah,2.9527860882147343,1385
AG14: Pandan Jaya,KG25: Taman Mutiara,4.356011328436577,3506
AG14: Pandan Jaya,KG26: Taman Connaught,5.70779435522242,2233
AG14: Pandan Jaya,KG27: Taman Suntex,7.05426733875416,1163
AG14: Pandan Jaya,KG28: Sri Raya,8.427095617561793,856
AG14: Pandan Jaya,KG29: Bandar Tun Hussien Onn,9.946733686429635,1189
AG14: Pandan Jaya,KG30: Batu 11 Cheras,10.581767334342233,1165
AG14: Pandan Jaya,KG31: Bukit Dukung,12.06726592533637,683
AG14: Pandan Jaya,KG33: Sungai Jernih,15.200117601616013,710
AG14: Pandan Jaya,KG34: Stadium Kajang,15.966317749802235,1144
AG14: Pandan Jaya,KG35: Kajang,17.342612063712448,2812
